iou_threshold,num_images,num_gt,num_predictions,tp,fp,fn,precision,recall,f1,ap,mean_matched_iou,model_name
0.5,65,71,132,61,71,10,0.4621212121212121,0.8591549295774648,0.6009852216748768,0.8324252731844447,0.7597189544287706,FasterRCNN
0.55,65,71,132,59,73,12,0.44696969696969696,0.8309859154929577,0.5812807881773399,0.7807520283263419,0.7677950200148542,FasterRCNN
0.6000000000000001,65,71,132,57,75,14,0.4318181818181818,0.8028169014084507,0.5615763546798029,0.7334474756879805,0.7746884644148486,FasterRCNN
0.6500000000000001,65,71,132,51,81,20,0.38636363636363635,0.7183098591549296,0.5024630541871921,0.5829140384351592,0.7917156149019097,FasterRCNN
0.7000000000000002,65,71,132,44,88,27,0.3333333333333333,0.6197183098591549,0.4334975369458128,0.45086258300527204,0.8103744376471241,FasterRCNN
0.7500000000000002,65,71,132,35,97,36,0.26515151515151514,0.49295774647887325,0.3448275862068965,0.2966433346368809,0.8348586872728282,FasterRCNN
0.8000000000000003,65,71,132,27,105,44,0.20454545454545456,0.38028169014084506,0.2660098522167488,0.17472426431039456,0.8516113807509283,FasterRCNN
0.8500000000000003,65,71,132,13,119,58,0.09848484848484848,0.18309859154929578,0.12807881773399013,0.03741202745509956,0.8830435462453748,FasterRCNN
0.9000000000000004,65,71,132,3,129,68,0.022727272727272728,0.04225352112676056,0.029556650246305414,0.00363036303630363,0.9139731432960726,FasterRCNN
0.9500000000000004,65,71,132,0,132,71,0.0,0.0,0.0,0.0,,FasterRCNN
0.5,65,71,652,68,584,3,0.10429447852760736,0.9577464788732394,0.18810511756569848,0.8253619955802914,0.7517047228938434,RetinaNet
0.55,65,71,652,67,585,4,0.10276073619631902,0.9436619718309859,0.18533886583679113,0.799159345225932,0.7573989565537265,RetinaNet
0.6000000000000001,65,71,652,63,589,8,0.09662576687116564,0.8873239436619719,0.17427385892116182,0.773081188743757,0.7689459832621077,RetinaNet
0.6500000000000001,65,71,652,60,592,11,0.09202453987730061,0.8450704225352113,0.16597510373443983,0.7046480483231639,0.7773956941625776,RetinaNet
0.7000000000000002,65,71,652,50,602,21,0.07668711656441718,0.704225352112676,0.13831258644536654,0.5571751252999916,0.7990361546894929,RetinaNet
0.7500000000000002,65,71,652,37,615,34,0.05674846625766871,0.5211267605633803,0.10235131396957123,0.3724461960649735,0.8246636233118311,RetinaNet
0.8000000000000003,65,71,652,26,626,45,0.03987730061349693,0.36619718309859156,0.0719225449515906,0.17938452005892352,0.8489145221660372,RetinaNet
0.8500000000000003,65,71,652,10,642,61,0.015337423312883436,0.14084507042253522,0.027662517289073305,0.030820620979304155,0.881603272170787,RetinaNet
0.9000000000000004,65,71,652,1,651,70,0.0015337423312883436,0.014084507042253521,0.0027662517289073307,0.00039603960396039607,0.9365961974309948,RetinaNet
0.9500000000000004,65,71,652,0,652,71,0.0,0.0,0.0,0.0,,RetinaNet
