model_name,model_type,num_images,num_gt,num_predictions,operating_score_threshold,precision,recall,f1,AP50,mAP50_95,mean_matched_iou,raw_num_predictions,raw_precision,raw_recall,raw_f1,mean_inference_time_sec,images_per_second,weights_size_mb
RetinaNet,torchvision,65,71,81,0.4,0.7407407407407407,0.8450704225352113,0.7894736842105262,0.8253619955802914,0.42424730798802973,0.7605703423125779,652,0.10429447852760736,0.9577464788732394,0.18810511756569848,6.512425010768661,0.1535526318301468,123.22542190551758
FasterRCNN,torchvision,65,71,67,0.35,0.8805970149253731,0.8309859154929577,0.8550724637681161,0.8324252731844447,0.38928113880778775,0.760091735792544,132,0.4621212121212121,0.8591549295774648,0.6009852216748768,7.099742713844619,0.14085017447885584,158.05274868011475
